"","NAME","YEAR","TEAM","TIME","COURSE"
"757","Kramer, Jordan","JR-3","Calvin","26:03.0","
 Lake Breeze Golf Club
 Winneconne,   WI 12345
  "
"758","Tedeschi, Andrew","JR-3","TCNJ","26:03.0","
 Lake Breeze Golf Club
 Winneconne,   WI 12345
  "
"759","Paucek, Brendon","JR-3","Wis.-Eau Claire","26:04.4","
 Lake Breeze Golf Club
 Winneconne,   WI 12345
  "
"760","Marpe, Zach","JR-3","Wartburg","26:04.4","
 Lake Breeze Golf Club
 Winneconne,   WI 12345
  "
"761","Abelson, Evan","SR-4","Hamilton","26:04.7","
 Lake Breeze Golf Club
 Winneconne,   WI 12345
  "
"762","Patterson, Spencer","SR-4","St. Lawrence","26:05.1","
 Lake Breeze Golf Club
 Winneconne,   WI 12345
  "
"763","Zack, Joe","JR-3","Wis.-Oshkosh","26:06.1","
 Lake Breeze Golf Club
 Winneconne,   WI 12345
  "
"764","Conway, Ryan","SR-4","Elizabethtown","26:06.3","
 Lake Breeze Golf Club
 Winneconne,   WI 12345
  "
"765","Rosenkranz, Josh","FR-1","MIT","26:06.3","
 Lake Breeze Golf Club
 Winneconne,   WI 12345
  "
"766","Hermsen, Ryan","SR-4","Wartburg","26:06.8","
 Lake Breeze Golf Club
 Winneconne,   WI 12345
  "
"767","Johnson, Mitchell","SO-2","Augustana (Ill.)","26:07.0","
 Lake Breeze Golf Club
 Winneconne,   WI 12345
  "
"768","Specht, Jon","SO-2","Central College","26:07.1","
 Lake Breeze Golf Club
 Winneconne,   WI 12345
  "
"769","Adams, Justin","SO-2","Loras","26:07.3","
 Lake Breeze Golf Club
 Winneconne,   WI 12345
  "
"770","Hedges, Ben","JR-3","Loras","26:07.4","
 Lake Breeze Golf Club
 Winneconne,   WI 12345
  "
"771","Jones, Gareth","JR-3","U. of Chicago","26:08.6","
 Lake Breeze Golf Club
 Winneconne,   WI 12345
  "
"772","Rabil, William","JR-3","Christopher Newport","26:09.6","
 Lake Breeze Golf Club
 Winneconne,   WI 12345
  "
"773","Kreuch, Peter","SO-2","U. of Chicago","26:10.6","
 Lake Breeze Golf Club
 Winneconne,   WI 12345
  "
"774","Rathje, Tanner","SO-2","Central College","26:11.0","
 Lake Breeze Golf Club
 Winneconne,   WI 12345
  "
"775","Shafi, Jacob","SR-4","Willamette","26:11.8","
 Lake Breeze Golf Club
 Winneconne,   WI 12345
  "
"776","MacMurray, Christopher","SR-4","Whitworth","26:12.2","
 Lake Breeze Golf Club
 Winneconne,   WI 12345
  "
"777","Frawley, Jerry","JR-3","Wartburg","26:12.2","
 Lake Breeze Golf Club
 Winneconne,   WI 12345
  "
"778","O'gara, David","SO-2","Washington U.","26:12.3","
 Lake Breeze Golf Club
 Winneconne,   WI 12345
  "
"779","Lesko, Andrew","JR-3","Elizabethtown","26:12.5","
 Lake Breeze Golf Club
 Winneconne,   WI 12345
  "
"780","Warfel, Tommy","SR-4","Occidental","26:12.6","
 Lake Breeze Golf Club
 Winneconne,   WI 12345
  "
"781","McBane, Michael","JR-3","Emory","26:12.6","
 Lake Breeze Golf Club
 Winneconne,   WI 12345
  "
"782","Lee, Zach","FR-1","Wis.-Platteville","26:13.2","
 Lake Breeze Golf Club
 Winneconne,   WI 12345
  "
"783","DeJong, Mark","SO-2","Calvin","26:13.2","
 Lake Breeze Golf Club
 Winneconne,   WI 12345
  "
"784","Riggs, Nathan","SO-2","Centre","26:14.0","
 Lake Breeze Golf Club
 Winneconne,   WI 12345
  "
"785","Kramer, Alex","JR-3","Geneseo St.","26:14.7","
 Lake Breeze Golf Club
 Winneconne,   WI 12345
  "
"786","Caughron, Michael","JR-3","Tufts","26:15.0","
 Lake Breeze Golf Club
 Winneconne,   WI 12345
  "
"787","Kirui, Wesley","SR-4","St. Lawrence","26:15.2","
 Lake Breeze Golf Club
 Winneconne,   WI 12345
  "
"788","Cartwright, Samuel","SR-4","Middlebury","26:15.6","
 Lake Breeze Golf Club
 Winneconne,   WI 12345
  "
"789","Kokare, Kailas","JR-3","Wartburg","26:15.8","
 Lake Breeze Golf Club
 Winneconne,   WI 12345
  "
"790","Lavelle, Stephen","JR-3","Augustana (Ill.)","26:16.0","
 Lake Breeze Golf Club
 Winneconne,   WI 12345
  "
"791","Smith, Carter","SO-2","Allegheny","26:16.4","
 Lake Breeze Golf Club
 Winneconne,   WI 12345
  "
"792","Downer, Dontay","FR-1","Wesleyan","26:17.6","
 Lake Breeze Golf Club
 Winneconne,   WI 12345
  "
"793","Degroot-Lutzner, Julian","FR-1","Pomona-Pitzer","26:18.7","
 Lake Breeze Golf Club
 Winneconne,   WI 12345
  "
"794","Popek, Dan","SR-4","Augustana (Ill.)","26:19.7","
 Lake Breeze Golf Club
 Winneconne,   WI 12345
  "
"795","Bjork, Sean","JR-3","St. Olaf","26:20.2","
 Lake Breeze Golf Club
 Winneconne,   WI 12345
  "
"796","Julien, Marc-Daniel","SR-4","Carnegie Mellon","26:20.5","
 Lake Breeze Golf Club
 Winneconne,   WI 12345
  "
"797","Wunnicke, Trevor","SO-2","Wis.-Platteville","26:21.1","
 Lake Breeze Golf Club
 Winneconne,   WI 12345
  "
"798","Benfer, Andrew","JR-3","Christopher Newport","26:21.3","
 Lake Breeze Golf Club
 Winneconne,   WI 12345
  "
"799","Kaczinski, Eli","SO-2","Wartburg","26:21.4","
 Lake Breeze Golf Club
 Winneconne,   WI 12345
  "
"800","Anderson, Ethan","SR-4","Calvin","26:22.3","
 Lake Breeze Golf Club
 Winneconne,   WI 12345
  "
"801","Hanfling, Eyal","JR-3","U. of Chicago","26:22.5","
 Lake Breeze Golf Club
 Winneconne,   WI 12345
  "
"802","Hunt, Austin","JR-3","Emory","26:25.5","
 Lake Breeze Golf Club
 Winneconne,   WI 12345
  "
"803","Lewis, Cordell","JR-3","Wabash","26:27.4","
 Lake Breeze Golf Club
 Winneconne,   WI 12345
  "
"804","Serrao, Kevin","SO-2","Middlebury","26:28.1","
 Lake Breeze Golf Club
 Winneconne,   WI 12345
  "
"805","Weiss, Daniel","FR-1","MIT","26:30.8","
 Lake Breeze Golf Club
 Winneconne,   WI 12345
  "
"806","Knight, Tate","SO-2","Wesleyan","26:31.3","
 Lake Breeze Golf Club
 Winneconne,   WI 12345
  "
"807","Read, Daniel","SO-2","Christopher Newport","26:31.7","
 Lake Breeze Golf Club
 Winneconne,   WI 12345
  "
"808","Harriger, Adam","SR-4","Elizabethtown","26:31.9","
 Lake Breeze Golf Club
 Winneconne,   WI 12345
  "
"809","Rynes, Walker","SO-2","Wis.-Platteville","26:32.3","
 Lake Breeze Golf Club
 Winneconne,   WI 12345
  "
"810","Ensminger, Colin","JR-3","Loras","26:32.8","
 Lake Breeze Golf Club
 Winneconne,   WI 12345
  "
"811","Patterson, Hayden","SR-4","Keene State","26:33.3","
 Lake Breeze Golf Club
 Winneconne,   WI 12345
  "
"812","Evans, Connor","FR-1","Middlebury","26:33.8","
 Lake Breeze Golf Club
 Winneconne,   WI 12345
  "
"813","Blood, Henry","SR-4","U. of Chicago","26:35.4","
 Lake Breeze Golf Club
 Winneconne,   WI 12345
  "
"814","Rhode, Benjamin","JR-3","Wis.-Platteville","26:35.9","
 Lake Breeze Golf Club
 Winneconne,   WI 12345
  "
"815","Carlson, Keith","FR-1","Willamette","26:36.5","
 Lake Breeze Golf Club
 Winneconne,   WI 12345
  "
"816","Lovejoy, Brian","SR-4","Augustana (Ill.)","26:37.5","
 Lake Breeze Golf Club
 Winneconne,   WI 12345
  "
"817","Matthies, Hunter","SR-4","Willamette","26:37.9","
 Lake Breeze Golf Club
 Winneconne,   WI 12345
  "
"818","Freeman, David","SR-4","Hamilton","26:41.7","
 Lake Breeze Golf Club
 Winneconne,   WI 12345
  "
"819","McKnight, Brian","FR-1","Wis.-Oshkosh","26:46.4","
 Lake Breeze Golf Club
 Winneconne,   WI 12345
  "
"820","Dover, Jeffrey","SO-2","Christopher Newport","26:48.3","
 Lake Breeze Golf Club
 Winneconne,   WI 12345
  "
"821","Murphy, Grant","JR-3","Emory","26:50.7","
 Lake Breeze Golf Club
 Winneconne,   WI 12345
  "
"822","Shaw, Bennett","FR-1","Emory","26:51.2","
 Lake Breeze Golf Club
 Winneconne,   WI 12345
  "
"823","Coffey, Joe","JR-3","St. Olaf","26:56.6","
 Lake Breeze Golf Club
 Winneconne,   WI 12345
  "
"824","Karginov, Timofey","JR-3","U. of Chicago","27:06.0","
 Lake Breeze Golf Club
 Winneconne,   WI 12345
  "
"825","Donner, Taylor","SO-2","Central College","27:06.8","
 Lake Breeze Golf Club
 Winneconne,   WI 12345
  "
"826","Klockenkemper, Samuel","JR-3","Middlebury","27:10.4","
 Lake Breeze Golf Club
 Winneconne,   WI 12345
  "
"827","Bankert, Adam","SR-4","St. Lawrence","27:10.7","
 Lake Breeze Golf Club
 Winneconne,   WI 12345
  "
"828","Regan, Luke","SO-2","Allegheny","27:11.3","
 Lake Breeze Golf Club
 Winneconne,   WI 12345
  "
"829","Swenson, Christian","FR-1","Tufts","27:13.4","
 Lake Breeze Golf Club
 Winneconne,   WI 12345
  "
"830","Campbell, Zachary","JR-3","Christopher Newport","27:16.5","
 Lake Breeze Golf Club
 Winneconne,   WI 12345
  "
"831","Kobylka, Jack","SO-2","Willamette","27:20.4","
 Lake Breeze Golf Club
 Winneconne,   WI 12345
  "
"832","Anderson, Stephen","SR-4","Allegheny","27:22.5","
 Lake Breeze Golf Club
 Winneconne,   WI 12345
  "
"833","Doughty, Luke","SO-2","Wabash","27:24.1","
 Lake Breeze Golf Club
 Winneconne,   WI 12345
  "
"834","Pruitt, Charles","JR-3","Christopher Newport","27:31.9","
 Lake Breeze Golf Club
 Winneconne,   WI 12345
  "
"835","Brown, Max","SO-2","Emory","27:34.8","
 Lake Breeze Golf Club
 Winneconne,   WI 12345
  "
"836","Stelk, Ben","SO-2","Central College","27:35.9","
 Lake Breeze Golf Club
 Winneconne,   WI 12345
  "
"837","Klobassa, Kevin","SR-4","Wartburg","27:40.3","
 Lake Breeze Golf Club
 Winneconne,   WI 12345
  "
"838","LaMere, Ian","SR","Wis.-Platteville","23:40.4","
EP ""Tom"" Sawyer State Park
3000 Freys Hill Rd
Louisville, KY 40241
  "
"839","Pitone, Ernie","SR","Widener","24:09.0","
EP ""Tom"" Sawyer State Park
3000 Freys Hill Rd
Louisville, KY 40241
  "
"840","Nichols, Tim","SR","Tufts","24:09.7","
EP ""Tom"" Sawyer State Park
3000 Freys Hill Rd
Louisville, KY 40241
  "
"841","Garcia-Cassani, Isaac","JR","SUNY Geneseo","24:18.0","
EP ""Tom"" Sawyer State Park
3000 Freys Hill Rd
Louisville, KY 40241
  "
"842","Cheung, Dan","SR","Allegheny","24:18.9","
EP ""Tom"" Sawyer State Park
3000 Freys Hill Rd
Louisville, KY 40241
  "
"843","Lau, Darin","JR","Wis.-Eau Claire","24:22.9","
EP ""Tom"" Sawyer State Park
3000 Freys Hill Rd
Louisville, KY 40241
  "
"844","Deyo, Matt","SR","MIT","24:28.1","
EP ""Tom"" Sawyer State Park
3000 Freys Hill Rd
Louisville, KY 40241
  "
"845","Lund, Kyle","SR","Claremont-Mudd-Scripps","24:32.5","
EP ""Tom"" Sawyer State Park
3000 Freys Hill Rd
Louisville, KY 40241
  "
"846","Plank, Zach","SR","North Central (Ill.)","24:34.3","
EP ""Tom"" Sawyer State Park
3000 Freys Hill Rd
Louisville, KY 40241
  "
"847","Jensen, Isaac","SR","Luther","24:37.9","
EP ""Tom"" Sawyer State Park
3000 Freys Hill Rd
Louisville, KY 40241
  "
"848","Chelimo, David","SR","Colby","24:38.1","
EP ""Tom"" Sawyer State Park
3000 Freys Hill Rd
Louisville, KY 40241
  "
"849","Maloney, Dennis","SO","MIT","24:39.6","
EP ""Tom"" Sawyer State Park
3000 Freys Hill Rd
Louisville, KY 40241
  "
"850","Sealand, Joshua","SR","Claremont-Mudd-Scripps","24:39.8","
EP ""Tom"" Sawyer State Park
3000 Freys Hill Rd
Louisville, KY 40241
  "
"851","Kramer, Jordan","SR","Calvin","24:40.1","
EP ""Tom"" Sawyer State Park
3000 Freys Hill Rd
Louisville, KY 40241
  "
"852","Baldonado, Al","SO","North Central (Ill.)","24:40.5","
EP ""Tom"" Sawyer State Park
3000 Freys Hill Rd
Louisville, KY 40241
  "
"853","Becker, Ryan","SR","Washington U.","24:40.8","
EP ""Tom"" Sawyer State Park
3000 Freys Hill Rd
Louisville, KY 40241
  "
"854","Violette, Randy","SR","Allegheny","24:41.2","
EP ""Tom"" Sawyer State Park
3000 Freys Hill Rd
Louisville, KY 40241
  "
"855","Patel, Dhruvil","SO","North Central (Ill.)","24:41.6","
EP ""Tom"" Sawyer State Park
3000 Freys Hill Rd
Louisville, KY 40241
  "
"856","Adlfinger, Ethan","SR","North Central (Ill.)","24:41.9","
EP ""Tom"" Sawyer State Park
3000 Freys Hill Rd
Louisville, KY 40241
  "
"857","O'Connor, Luke","SR","Tufts","24:42.4","
EP ""Tom"" Sawyer State Park
3000 Freys Hill Rd
Louisville, KY 40241
  "
"858","Merriman, Sam","JR","Case Western","24:43.5","
EP ""Tom"" Sawyer State Park
3000 Freys Hill Rd
Louisville, KY 40241
  "
"859","Woods, Henry","JR","Haverford","24:45.3","
EP ""Tom"" Sawyer State Park
3000 Freys Hill Rd
Louisville, KY 40241
  "
"860","Coffey, Joe","SR","St. Olaf","24:46.7","
EP ""Tom"" Sawyer State Park
3000 Freys Hill Rd
Louisville, KY 40241
  "
"861","Hird, Zach","SO","North Central (Ill.)","24:47.0","
EP ""Tom"" Sawyer State Park
3000 Freys Hill Rd
Louisville, KY 40241
  "
"862","O'Connor, Grant","SO","RPI","24:47.3","
EP ""Tom"" Sawyer State Park
3000 Freys Hill Rd
Louisville, KY 40241
  "
"863","Flank, Jaryd","SR","Muhlenberg","24:47.9","
EP ""Tom"" Sawyer State Park
3000 Freys Hill Rd
Louisville, KY 40241
  "
"864","Bailey, James","JR","RIT","24:48.4","
EP ""Tom"" Sawyer State Park
3000 Freys Hill Rd
Louisville, KY 40241
  "
"865","Caulfield, Thomas","SR","St. Lawrence","24:50.2","
EP ""Tom"" Sawyer State Park
3000 Freys Hill Rd
Louisville, KY 40241
  "
"866","O'gara, David","JR","Washington U.","24:51.0","
EP ""Tom"" Sawyer State Park
3000 Freys Hill Rd
Louisville, KY 40241
  "
"867","Bass, Alec","JR","Dubuque","24:51.7","
EP ""Tom"" Sawyer State Park
3000 Freys Hill Rd
Louisville, KY 40241
  "
"868","Petersson, Nick","SR","Wis.-Eau Claire","24:52.0","
EP ""Tom"" Sawyer State Park
3000 Freys Hill Rd
Louisville, KY 40241
  "
"869","Harms, Brett","JR","Wis.-Whitewater","24:53.2","
EP ""Tom"" Sawyer State Park
3000 Freys Hill Rd
Louisville, KY 40241
  "
"870","Tope, Mason","JR","Loras","24:53.2","
EP ""Tom"" Sawyer State Park
3000 Freys Hill Rd
Louisville, KY 40241
  "
"871","Treacy, Patrick","SO","Wis.-Eau Claire","24:54.1","
EP ""Tom"" Sawyer State Park
3000 Freys Hill Rd
Louisville, KY 40241
  "
"872","Hodkinson, Brad","SO","Pacific Lutheran","24:55.9","
EP ""Tom"" Sawyer State Park
3000 Freys Hill Rd
Louisville, KY 40241
  "
"873","McVey, Ian","SO","Ohio Northern","24:57.5","
EP ""Tom"" Sawyer State Park
3000 Freys Hill Rd
Louisville, KY 40241
  "
"874","Stender, Ryan","SR","Brandeis","24:57.7","
EP ""Tom"" Sawyer State Park
3000 Freys Hill Rd
Louisville, KY 40241
  "
"875","Brown, Tanner","SR","Nebraska Wesleyan","24:59.7","
EP ""Tom"" Sawyer State Park
3000 Freys Hill Rd
Louisville, KY 40241
  "
"876","Ochstein, Schaffer","SR","Johns Hopkins","24:59.8","
EP ""Tom"" Sawyer State Park
3000 Freys Hill Rd
Louisville, KY 40241
  "
"877","Reid, Grayson","JR","Christopher Newport","25:00.7","
EP ""Tom"" Sawyer State Park
3000 Freys Hill Rd
Louisville, KY 40241
  "
"878","Reischling, Andy","SO","Pomona-Pitzer","25:01.3","
EP ""Tom"" Sawyer State Park
3000 Freys Hill Rd
Louisville, KY 40241
  "
"879","Osing, Tanner","SR","Augustana (Ill.)","25:01.5","
EP ""Tom"" Sawyer State Park
3000 Freys Hill Rd
Louisville, KY 40241
  "
"880","Beyer, Rory","SR","MIT","25:02.1","
EP ""Tom"" Sawyer State Park
3000 Freys Hill Rd
Louisville, KY 40241
  "
"881","Decker, Ben","JR","Williams","25:03.2","
EP ""Tom"" Sawyer State Park
3000 Freys Hill Rd
Louisville, KY 40241
  "
"882","Kaczinski, Eli","JR","Wartburg","25:03.8","
EP ""Tom"" Sawyer State Park
3000 Freys Hill Rd
Louisville, KY 40241
  "
"883","Taber, Ben","SR","Gettysburg","25:04.0","
EP ""Tom"" Sawyer State Park
3000 Freys Hill Rd
Louisville, KY 40241
  "
"884","Walker, Nicholas","SR","Bowdoin","25:04.5","
EP ""Tom"" Sawyer State Park
3000 Freys Hill Rd
Louisville, KY 40241
  "
"885","O'Keefe, Dan","JR","North Central (Ill.)","25:05.6","
EP ""Tom"" Sawyer State Park
3000 Freys Hill Rd
Louisville, KY 40241
  "
"886","Dudek, Will","SR","Wesleyan","25:06.3","
EP ""Tom"" Sawyer State Park
3000 Freys Hill Rd
Louisville, KY 40241
  "
"887","Sandoval, Julian","SO","Whittier","25:07.2","
EP ""Tom"" Sawyer State Park
3000 Freys Hill Rd
Louisville, KY 40241
  "
"888","Borash, Daniel","SR","Wis.-River Falls","25:07.4","
EP ""Tom"" Sawyer State Park
3000 Freys Hill Rd
Louisville, KY 40241
  "
"889","Patacsil, Dominic","SO","Wabash","25:07.9","
EP ""Tom"" Sawyer State Park
3000 Freys Hill Rd
Louisville, KY 40241
  "
"890","LaPointe, John","JR","Christopher Newport","25:08.0","
EP ""Tom"" Sawyer State Park
3000 Freys Hill Rd
Louisville, KY 40241
  "
"891","Myers, Preston","FR","Mount Union","25:09.4","
EP ""Tom"" Sawyer State Park
3000 Freys Hill Rd
Louisville, KY 40241
  "
"892","Wubben, Matt","SR","Wis.-Platteville","25:10.0","
EP ""Tom"" Sawyer State Park
3000 Freys Hill Rd
Louisville, KY 40241
  "
"893","Christiansen, Daniel","SR","Grove City","25:10.3","
EP ""Tom"" Sawyer State Park
3000 Freys Hill Rd
Louisville, KY 40241
  "
"894","Kramer, Alex","SR","SUNY Geneseo","25:10.7","
EP ""Tom"" Sawyer State Park
3000 Freys Hill Rd
Louisville, KY 40241
  "
"895","Riggs, Nathan","JR","Centre","25:10.8","
EP ""Tom"" Sawyer State Park
3000 Freys Hill Rd
Louisville, KY 40241
  "
"896","Hiegel, Robert","SR","Bridgewater (Va.)","25:11.0","
EP ""Tom"" Sawyer State Park
3000 Freys Hill Rd
Louisville, KY 40241
  "
"897","Huang, Kevin","JR","Claremont-Mudd-Scripps","25:11.8","
EP ""Tom"" Sawyer State Park
3000 Freys Hill Rd
Louisville, KY 40241
  "
"898","Fairley, Mark","JR","Central College","25:12.3","
EP ""Tom"" Sawyer State Park
3000 Freys Hill Rd
Louisville, KY 40241
  "
"899","Pavarini, Tom","SR","Johns Hopkins","25:12.6","
EP ""Tom"" Sawyer State Park
3000 Freys Hill Rd
Louisville, KY 40241
  "
"900","Burguete, Polo","JR","DePauw","25:12.7","
EP ""Tom"" Sawyer State Park
3000 Freys Hill Rd
Louisville, KY 40241
  "
"901","Lupia, Anthony","SR","Oneonta","25:12.9","
EP ""Tom"" Sawyer State Park
3000 Freys Hill Rd
Louisville, KY 40241
  "
"902","Harden, Andrew","SR","Ohio Northern","25:13.9","
EP ""Tom"" Sawyer State Park
3000 Freys Hill Rd
Louisville, KY 40241
  "
"903","Newsum, Jovan","SR","Saint Mary's (Minn.)","25:14.0","
EP ""Tom"" Sawyer State Park
3000 Freys Hill Rd
Louisville, KY 40241
  "
"904","Schultz, Thomas","SO","Wis.-La Crosse","25:14.1","
EP ""Tom"" Sawyer State Park
3000 Freys Hill Rd
Louisville, KY 40241
  "
"905","Hussein, Mohamed","JR","Amherst","25:15.1","
EP ""Tom"" Sawyer State Park
3000 Freys Hill Rd
Louisville, KY 40241
  "
"906","Sisario, Michael","SR","Emory","25:15.4","
EP ""Tom"" Sawyer State Park
3000 Freys Hill Rd
Louisville, KY 40241
  "
"907","Fazio, Benjamin","SR","RPI","25:15.6","
EP ""Tom"" Sawyer State Park
3000 Freys Hill Rd
Louisville, KY 40241
  "
"908","Rich, Brian","SR","Middlebury","25:15.8","
EP ""Tom"" Sawyer State Park
3000 Freys Hill Rd
Louisville, KY 40241
  "
"909","Mitchell, William","SO","Carnegie Mellon","25:16.1","
EP ""Tom"" Sawyer State Park
3000 Freys Hill Rd
Louisville, KY 40241
  "
"910","Schalois, Kase","SR","Ohio Northern","25:16.1","
EP ""Tom"" Sawyer State Park
3000 Freys Hill Rd
Louisville, KY 40241
  "
"911","Briggs, Travis","SR","SUNY Geneseo","25:16.4","
EP ""Tom"" Sawyer State Park
3000 Freys Hill Rd
Louisville, KY 40241
  "
"912","Matteucci, Nick","FR","Washington U.","25:17.0","
EP ""Tom"" Sawyer State Park
3000 Freys Hill Rd
Louisville, KY 40241
  "
"913","McDermott, Will","SR","Widener","25:17.2","
EP ""Tom"" Sawyer State Park
3000 Freys Hill Rd
Louisville, KY 40241
  "
"914","Pourshalchi, Scott","SR","Johns Hopkins","25:17.5","
EP ""Tom"" Sawyer State Park
3000 Freys Hill Rd
Louisville, KY 40241
  "
"915","McSolla, Daniel","SR","Wentworth Institute of Tech","25:17.8","
EP ""Tom"" Sawyer State Park
3000 Freys Hill Rd
Louisville, KY 40241
  "
"916","Adams, Justin","JR","Loras","25:17.9","
EP ""Tom"" Sawyer State Park
3000 Freys Hill Rd
Louisville, KY 40241
  "
"917","Schott, Benjamin","SO","Messiah","25:19.1","
EP ""Tom"" Sawyer State Park
3000 Freys Hill Rd
Louisville, KY 40241
  "
"918","Anderson, Austin","SO","Williams","25:19.2","
EP ""Tom"" Sawyer State Park
3000 Freys Hill Rd
Louisville, KY 40241
  "
"919","Ewers, Ian","JR","Wis.-La Crosse","25:19.4","
EP ""Tom"" Sawyer State Park
3000 Freys Hill Rd
Louisville, KY 40241
  "
"920","Nelson, Craig","JR","Amherst","25:19.8","
EP ""Tom"" Sawyer State Park
3000 Freys Hill Rd
Louisville, KY 40241
  "
"921","Burks, Alex","JR","SUNY Geneseo","25:19.8","
EP ""Tom"" Sawyer State Park
3000 Freys Hill Rd
Louisville, KY 40241
  "
"922","Tedeschi, Andrew","SR","TCNJ","25:19.9","
EP ""Tom"" Sawyer State Park
3000 Freys Hill Rd
Louisville, KY 40241
  "
"923","Smith, Carter","JR","Allegheny","25:20.2","
EP ""Tom"" Sawyer State Park
3000 Freys Hill Rd
Louisville, KY 40241
  "
"924","Zajkowski, Austin","JR","Wis.-La Crosse","25:20.5","
EP ""Tom"" Sawyer State Park
3000 Freys Hill Rd
Louisville, KY 40241
  "
"925","Meijer, Raymond","SR","Amherst","25:21.1","
EP ""Tom"" Sawyer State Park
3000 Freys Hill Rd
Louisville, KY 40241
  "
"926","Nugent, Brien","JR","Loras","25:21.4","
EP ""Tom"" Sawyer State Park
3000 Freys Hill Rd
Louisville, KY 40241
  "
"927","McKinney, Mason","SR","Wabash","25:21.5","
EP ""Tom"" Sawyer State Park
3000 Freys Hill Rd
Louisville, KY 40241
  "
"928","Hernandez, Jeremy","JR","Ramapo","25:21.5","
EP ""Tom"" Sawyer State Park
3000 Freys Hill Rd
Louisville, KY 40241
  "
"929","Strehler, Mac","SR","Washington and Lee","25:21.6","
EP ""Tom"" Sawyer State Park
3000 Freys Hill Rd
Louisville, KY 40241
  "
"930","Busby, David","SR","Oneonta","25:21.7","
EP ""Tom"" Sawyer State Park
3000 Freys Hill Rd
Louisville, KY 40241
  "
"931","Watson, Charles","SR","Pomona-Pitzer","25:21.7","
EP ""Tom"" Sawyer State Park
3000 Freys Hill Rd
Louisville, KY 40241
  "
"932","Gomez, Omar","SR","North Central (Ill.)","25:21.9","
EP ""Tom"" Sawyer State Park
3000 Freys Hill Rd
Louisville, KY 40241
  "
"933","Sotos, John","JR","Ohio Wesleyan","25:22.1","
EP ""Tom"" Sawyer State Park
3000 Freys Hill Rd
Louisville, KY 40241
  "
"934","Herlihy, Ryan","SO","Haverford","25:22.5","
EP ""Tom"" Sawyer State Park
3000 Freys Hill Rd
Louisville, KY 40241
  "
"935","Hinz, Sam","SO","Wis.-La Crosse","25:23.1","
EP ""Tom"" Sawyer State Park
3000 Freys Hill Rd
Louisville, KY 40241
  "
"936","Williams, Dillon","SR","Washington U.","25:23.1","
EP ""Tom"" Sawyer State Park
3000 Freys Hill Rd
Louisville, KY 40241
  "
"937","Mazzuca, Alfredo","SR","SUNY Geneseo","25:23.3","
EP ""Tom"" Sawyer State Park
3000 Freys Hill Rd
Louisville, KY 40241
  "
"938","Bill, Andrew","FR","Albion","25:23.7","
EP ""Tom"" Sawyer State Park
3000 Freys Hill Rd
Louisville, KY 40241
  "
"939","Mulligan, Colin","SO","Pomona-Pitzer","25:23.9","
EP ""Tom"" Sawyer State Park
3000 Freys Hill Rd
Louisville, KY 40241
  "
"940","Dover, Jeffrey","JR","Christopher Newport","25:23.9","
EP ""Tom"" Sawyer State Park
3000 Freys Hill Rd
Louisville, KY 40241
  "
"941","Zorn, Justin","SR","Union (N.Y.)","25:24.0","
EP ""Tom"" Sawyer State Park
3000 Freys Hill Rd
Louisville, KY 40241
  "
"942","Simpson, Liam","JR","Williams","25:24.3","
EP ""Tom"" Sawyer State Park
3000 Freys Hill Rd
Louisville, KY 40241
  "
"943","Johnsrud, Peter","SR","Washington U.","25:24.3","
EP ""Tom"" Sawyer State Park
3000 Freys Hill Rd
Louisville, KY 40241
  "
"944","O'Connor, Sean","SO","RPI","25:24.6","
EP ""Tom"" Sawyer State Park
3000 Freys Hill Rd
Louisville, KY 40241
  "
"945","Philipose, Andrew","JR","Calvin","25:27.4","
EP ""Tom"" Sawyer State Park
3000 Freys Hill Rd
Louisville, KY 40241
  "
"946","Mees, Lukas","SR","Emory","25:27.4","
EP ""Tom"" Sawyer State Park
3000 Freys Hill Rd
Louisville, KY 40241
  "
"947","Frawley, Jerry","SR","Wartburg","25:27.8","
EP ""Tom"" Sawyer State Park
3000 Freys Hill Rd
Louisville, KY 40241
  "
"948","Loftus, Patrick","JR","Willamette","25:27.9","
EP ""Tom"" Sawyer State Park
3000 Freys Hill Rd
Louisville, KY 40241
  "
"949","Leary, Keenan","JR","Occidental","25:28.2","
EP ""Tom"" Sawyer State Park
3000 Freys Hill Rd
Louisville, KY 40241
  "
"950","Monheim, Liam","FR","Lewis & Clark","25:28.2","
EP ""Tom"" Sawyer State Park
3000 Freys Hill Rd
Louisville, KY 40241
  "
"951","Miletti, Tyler","SR","Wis.-Oshkosh","25:28.2","
EP ""Tom"" Sawyer State Park
3000 Freys Hill Rd
Louisville, KY 40241
  "
"952","Pulvidente, Connor","JR","SUNY Geneseo","25:28.7","
EP ""Tom"" Sawyer State Park
3000 Freys Hill Rd
Louisville, KY 40241
  "
"953","Huffman, Riley","JR","Wis.-Eau Claire","25:28.8","
EP ""Tom"" Sawyer State Park
3000 Freys Hill Rd
Louisville, KY 40241
  "
"954","O'neil, Matt","SR","Mount Union","25:29.5","
EP ""Tom"" Sawyer State Park
3000 Freys Hill Rd
Louisville, KY 40241
  "
"955","Aispuro, Ascencion","JR","Middlebury","25:29.6","
EP ""Tom"" Sawyer State Park
3000 Freys Hill Rd
Louisville, KY 40241
  "
